License Number,Visit Date,Penalty Type,Case #,WAC Code,Violation Type,City Name,County Name
414780,04/26/2015 12:00:00 AM,Written Warning,2E5116A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
412757,07/12/2017 12:00:00 AM,Written Warning,7G7193A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),GOLD BAR,SNOHOMISH
412598,10/21/2015 12:00:00 AM,Written Warning,7G5294A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,ARLINGTON,SNOHOMISH
413097,08/03/2016 12:00:00 AM,Written Warning,7R6216A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORPORATED AREAS,MASON
414250,06/06/2017 12:00:00 AM,Written Warning,4E7157A,314.55.035,(MJ) True party of interest violation.,UNION GAP,YAKIMA
412050,03/08/2016 12:00:00 AM,Written Warning,7N6068A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,SPOKANE (CITY),SPOKANE
417165,04/04/2016 12:00:00 AM,Written Warning,7J6095A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORPORATED AREAS,KING
412457,10/16/2016 12:00:00 AM,Written Warning,7L6290D,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),MOXEE,YAKIMA
412070,02/04/2016 12:00:00 AM,Written Warning,7J6035A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,SEATTLE,KING
412598,07/11/2017 12:00:00 AM,Written Warning,7G7192A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,ARLINGTON,SNOHOMISH
412452,02/22/2016 12:00:00 AM,Written Warning,7B6053A,314.55.083(6),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,MASON
412112,07/22/2015 12:00:00 AM,Written Warning,7J5203A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,BELLEVUE,KING
422278,03/11/2017 12:00:00 AM,Written Warning,4X7070A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SPOKANE (CITY),SPOKANE
416787,03/02/2017 12:00:00 AM,Written Warning,7E7061A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),VANCOUVER,CLARK
413414,06/05/2017 12:00:00 AM,Written Warning,1J7156A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,BINGEN,KLICKITAT
416606,03/31/2016 12:00:00 AM,Written Warning,7O6091A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORP. AREAS,LINCOLN
417571,06/09/2017 12:00:00 AM,Written Warning,7G7160A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),ARLINGTON,SNOHOMISH
413434,04/14/2016 12:00:00 AM,Written Warning,7I6105A,314.55.035,(MJ) True party of interest violation.,UNINCORP. AREAS,WHATCOM
415880,05/18/2017 12:00:00 AM,Written Warning,7L7138A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,GRANT
414060,08/11/2016 12:00:00 AM,Written Warning,3Y6224A,314.55.079,(MJ) Sale or service to minor,MOUNT VERNON,SKAGIT
415658,03/30/2017 12:00:00 AM,Written Warning,4W7089A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,KING
412069,01/15/2016 12:00:00 AM,Written Warning,7J6015A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),SEATTLE,KING
412148,12/14/2015 12:00:00 AM,Written Warning,7J5348A,314.55.097,(MJ) Failure for a processor to meet marijuana waste disposal requirements.,SEATTLE,KING
424788,07/24/2017 12:00:00 AM,Written Warning,7L7205B,314.55.087,(MJ) Records: Improper recordkeeping. (producer),UNINCORPORATED AREAS,YAKIMA
417010,04/11/2016 12:00:00 AM,Written Warning,7J6102A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),AUBURN,KING
417019,06/17/2016 12:00:00 AM,Written Warning,7P6169A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,CHELAN
412079,10/27/2014 12:00:00 AM,Written Warning,7E4300A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,VANCOUVER,CLARK
416105,05/01/2017 12:00:00 AM,Written Warning,7G7121A,314.55.105,(MJ) Packaging and/or labeling violations (processor/retailer).,ARLINGTON,SNOHOMISH
412494,05/25/2016 12:00:00 AM,Written Warning,2P6146A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,AUBURN,KING
417118,06/22/2017 12:00:00 AM,Written Warning,7D7173A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),TACOMA,PIERCE
424162,07/24/2017 12:00:00 AM,Written Warning,7L7205A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),UNINCORPORATED AREAS,YAKIMA
412815,11/02/2016 12:00:00 AM,Written Warning,7P6307A,314.55.104,(MJ) Marijuana processor extraction requirements.,UNINCORPORATED AREAS,CHELAN
412665,12/29/2015 12:00:00 AM,Written Warning,7L5363A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,GRANT
412648,06/12/2015 12:00:00 AM,Written Warning,7H5163A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,OKANOGAN
412431,04/11/2016 12:00:00 AM,Written Warning,7B6102A,314.55.087,(MJ) Records: Improper recordkeeping.,UNINCORP. AREAS,KITSAP
415674,07/28/2017 12:00:00 AM,Written Warning,3B7209A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,UNINCORP. AREAS,WHATCOM
412942,01/20/2017 12:00:00 AM,Written Warning,7D7020A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORPORATED AREAS,THURSTON
417083,10/25/2016 12:00:00 AM,Written Warning,7O6299B,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,BENTON
414225,01/29/2015 12:00:00 AM,Written Warning,4C5029A,314.55.015,(MJ) Operating plan: Violations of a board-approved operating plan.,PROSSER,BENTON
412106,10/31/2014 12:00:00 AM,Written Warning,7D4305C,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,CLALLAM
415942,05/15/2017 12:00:00 AM,Written Warning,7L7135A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,GRANT
413380,02/02/2016 12:00:00 AM,Written Warning,7I6033A,314.55.097,(MJ) Failure for a producer to meet marijuana waste disposal requirements. (producer),UNINCORP. AREAS,WHATCOM
413716,10/22/2015 12:00:00 AM,Written Warning,7B5295A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,UNINCORPORATED AREAS,KING
416046,07/12/2017 12:00:00 AM,Written Warning,7H7193A,314.55.086,(MJ) Signs: Failure to post required signs.,UNINCORP. AREAS,OKANOGAN
415812,04/24/2017 12:00:00 AM,Written Warning,7Q7114A,314.55.085,(MJ) Violation of transportation requirements. (producer),SPOKANE (CITY),SPOKANE
412860,11/09/2015 12:00:00 AM,Written Warning,7H5313A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,OKANOGAN
415997,09/07/2016 12:00:00 AM,Written Warning,7J6251A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),UNINCORPORATED AREAS,KING
416393,09/25/2015 12:00:00 AM,Written Warning,7J5268A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,KIRKLAND,KING
414785,11/29/2016 12:00:00 AM,AVN,2A6334B,314.55.079,(MJ) Sale or service to minor,SEATTLE,KING
416549,02/23/2017 12:00:00 AM,AVN,7P7054A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,KITTITAS
413372,06/08/2017 12:00:00 AM,AVN,2E7159A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,SEATTLE,KING
414539,06/19/2017 12:00:00 AM,AVN,3A7170B,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,UNINCORP. AREAS,WHATCOM
412370,10/23/2015 12:00:00 AM,AVN,3C5296C,314.55.079,(MJ) Sale or service to minor,MOUNT VERNON,SKAGIT
412656,08/16/2017 12:00:00 AM,AVN,7I7228A,314.55.083(1),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),BELLINGHAM,WHATCOM
414780,09/22/2015 12:00:00 AM,AVN,2J5265B,314.55.083(4),(MJ) Failure to maintain required security alarm and surveillance systems.,SEATTLE,KING
415253,09/29/2016 12:00:00 AM,AVN,3L6273C,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,BELLEVUE,KING
415997,09/07/2016 12:00:00 AM,AVN,7J6251A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,KING
416539,03/30/2016 12:00:00 AM,AVN,7N6090A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,STEVENS
421282,11/21/2016 12:00:00 AM,AVN,4H6326A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,UNINCORP. AREAS,KITTITAS
416166,02/13/2017 12:00:00 AM,Written Warning,7D7044A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,TACOMA,PIERCE
417326,05/26/2017 12:00:00 AM,Written Warning,7J7146B,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
412598,12/10/2015 12:00:00 AM,Written Warning,7G5344A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,ARLINGTON,SNOHOMISH
412324,07/22/2016 12:00:00 AM,Written Warning,7J6204A,314.55.086,(MJ) Signs: Failure to post required signs.,UNINCORPORATED AREAS,KING
353928,07/26/2017 12:00:00 AM,Written Warning,4F7207C,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,YAKIMA,YAKIMA
413092,04/28/2016 12:00:00 AM,Written Warning,7O6119A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,ADAMS
412069,04/08/2015 12:00:00 AM,Written Warning,7G5098A,314.55.105,(MJ) Packaging and/or labeling violations (processor/retailer).,SEATTLE,KING
412639,02/03/2017 12:00:00 AM,Written Warning,7G7034A,314.55.097,(MJ) Failure for a producer to meet marijuana waste disposal requirements. (producer),SEATTLE,KING
412032,01/07/2016 12:00:00 AM,Written Warning,7N6007B,69.50.401,(MJ) Unauthorized product/unapproved storage or delivery. (producer),UNINCORP. AREAS,PEND OREILLE
412149,08/25/2014 12:00:00 AM,Written Warning,7B4237A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,RAYMOND,PACIFIC
413652,01/12/2016 12:00:00 AM,Written Warning,7C6012A,314.55.097,(MJ) Failure for a producer to meet marijuana waste disposal requirements. (producer),UNINCORPORATED AREAS,THURSTON
413706,04/07/2017 12:00:00 AM,Written Warning,7J7097A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,KELSO,COWLITZ
416831,11/02/2016 12:00:00 AM,Written Warning,7I6307A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,BELLINGHAM,WHATCOM
416286,07/17/2017 12:00:00 AM,Written Warning,7O7198A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,BENTON
417053,06/03/2016 12:00:00 AM,Written Warning,7G6155A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,UNINCORPORATED AREAS,SNOHOMISH
412452,02/22/2016 12:00:00 AM,Written Warning,7B6053A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,MASON
415752,12/07/2016 12:00:00 AM,Written Warning,7E6342A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),WOODLAND,COWLITZ
413541,01/27/2016 12:00:00 AM,AVN,1W6027B,314.55.079,(MJ) Sale or service to minor,PORT ORCHARD,KITSAP
421491,02/21/2017 12:00:00 AM,AVN,1C7052A,69.50.401,(MJ) Sale or service to minor,OLYMPIA,THURSTON
414680,05/15/2015 12:00:00 AM,AVN,3G5135B,314.55.079,(MJ) Sale or service to minor,EVERETT,SNOHOMISH
413626,02/11/2016 12:00:00 AM,AVN,7D6042A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORPORATED AREAS,MASON
414983,03/15/2017 12:00:00 AM,AVN,3L7074B,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,BELLEVUE,KING
416108,07/18/2017 12:00:00 AM,AVN,7M7199A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,STEVENS
412869,02/10/2017 12:00:00 AM,AVN,7E7039A,314.55.035,(MJ) True party of interest violation.,VANCOUVER,CLARK
412429,03/20/2017 12:00:00 AM,AVN,7G7079A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),GOLD BAR,SNOHOMISH
412061,02/06/2015 12:00:00 AM,AVN,7O5037A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),PASCO,FRANKLIN
415425,05/26/2016 12:00:00 AM,AVN,3V6147A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,UNINCORPORATED AREAS,SNOHOMISH
416458,01/13/2016 12:00:00 AM,AVN,7B6013A,314.55.135,(MJ) Operating plan: Violations of a board-approved operating plan.,TACOMA,PIERCE
413596,11/29/2016 12:00:00 AM,AVN,4F6334A,69.50.401,(MJ) Sale or service to minor,UNION GAP,YAKIMA
414539,10/28/2015 12:00:00 AM,AVN,3A5301B,314.55.079,(MJ) Sale or service to minor,UNINCORP. AREAS,WHATCOM
412804,07/31/2017 12:00:00 AM,AVN,7B7213A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,GRAYS HARBOR
416431,06/05/2015 12:00:00 AM,Written Warning,7D5156A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,TACOMA,PIERCE
413193,10/07/2015 12:00:00 AM,Written Warning,7G5280A,314.55.035,(MJ) True party of interest violation.,UNINCORPORATED AREAS,SNOHOMISH
416539,02/03/2016 12:00:00 AM,Written Warning,7N6034A,314.55.105,(MJ) Packaging and/or labeling violations (processor/retailer).,UNINCORP. AREAS,STEVENS
413722,10/26/2015 12:00:00 AM,Written Warning,7I5299A,314.55.097,(MJ) Failure for a producer to meet marijuana waste disposal requirements. (producer),BLAINE,WHATCOM
416748,03/03/2016 12:00:00 AM,Written Warning,7L6063B,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),MOXEE,YAKIMA
412969,05/31/2016 12:00:00 AM,Written Warning,7P6172A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,UNINCORPORATED AREAS,DOUGLAS
416286,07/17/2017 12:00:00 AM,Written Warning,7O7198A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,BENTON
417125,06/07/2017 12:00:00 AM,Written Warning,7L7158A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,MOSES LAKE,GRANT
412069,01/15/2016 12:00:00 AM,Written Warning,7J6015A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,SEATTLE,KING
414418,10/20/2015 12:00:00 AM,AVN,1W5293A,314.55.079,(MJ) Sale or service to minor,UNINCORP. AREAS,JEFFERSON
418322,09/01/2016 12:00:00 AM,AVN,7J6245A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,SEATTLE,KING
416739,03/14/2016 12:00:00 AM,AVN,7L6074A,314.55.035,(MJ) True party of interest violation.,MOXEE,YAKIMA
414574,09/25/2017 12:00:00 AM,Written Warning,3E7268B,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORPORATED AREAS,SKAGIT
416632,03/17/2017 12:00:00 AM,AVN,7J7076A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),TACOMA,PIERCE
417262,03/07/2017 12:00:00 AM,AVN,7I7066A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,SAN JUAN
414395,02/03/2015 12:00:00 AM,AVN,7M5034A,314.55.035,(MJ) True party of interest violation.,SPOKANE (CITY),SPOKANE
413199,07/06/2017 12:00:00 AM,AVN,7G7187A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),UNINCORP. AREAS,OKANOGAN
412557,04/14/2017 12:00:00 AM,AVN,7Q7104A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,WHITMAN
414785,02/23/2015 12:00:00 AM,AVN,2E5054A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,SEATTLE,KING
413913,10/18/2017 12:00:00 AM,AVN,7N7291A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORPORATED AREAS,SPOKANE
412593,10/19/2017 12:00:00 AM,AVN,7E7292B,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,CLARK
415752,02/06/2017 12:00:00 AM,AVN,7E7037A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),WOODLAND,COWLITZ
415922,07/10/2017 12:00:00 AM,Written Warning,7R7191A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORPORATED AREAS,GRAYS HARBOR
416027,07/21/2016 12:00:00 AM,Written Warning,7I6203A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,SKAGIT
416016,12/09/2015 12:00:00 AM,Written Warning,7I5343A,314.55.085,(MJ) Violation of transportation requirements. (producer),UNINCORPORATED AREAS,ISLAND
416107,03/18/2016 12:00:00 AM,Written Warning,7G6078A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),LAKE STEVENS,SNOHOMISH
412429,03/20/2017 12:00:00 AM,Written Warning,7G7079A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),GOLD BAR,SNOHOMISH
425362,11/16/2017 12:00:00 AM,AVN,4L7320A,314.55.079,(MJ) Sale or service to minor,SPOKANE (CITY),SPOKANE
420819,12/13/2017 12:00:00 AM,AVN,2D7347A,314.55.079,(MJ) Sale or service to minor,SEATTLE,KING
412108,11/14/2017 12:00:00 AM,AVN,7N7318A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,GRANT
079013,12/13/2017 12:00:00 AM,AVN,2D7347B,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,SEATTLE,KING
420898,11/07/2017 12:00:00 AM,Written Warning,4L7311A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,SPOKANE (CITY),SPOKANE
414532,11/30/2017 12:00:00 AM,Written Warning,2C7334A,314.55.018,(MJ) True party of interest violation.,SEATTLE,KING
420389,11/07/2017 12:00:00 AM,AVN,2N7311A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,BURIEN,KING
417095,12/07/2017 12:00:00 AM,AVN,7J7341A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),SEATTLE,KING
415721,12/01/2017 12:00:00 AM,AVN,7E7335A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,SKAMANIA
417095,12/07/2017 12:00:00 AM,Written Warning,7J7341A,314.55.087,(MJ) Records: Improper recordkeeping.,SEATTLE,KING
415032,12/16/2017 12:00:00 AM,AVN,3C7350A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,UNINCORPORATED AREAS,SKAGIT
415721,12/01/2017 12:00:00 AM,AVN,7E7335A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,SKAMANIA
416626,02/22/2017 12:00:00 AM,AVN,7E7053A,314.55.050,(MJ) Misrepresentation of fact.,WOODLAND,COWLITZ
416006,12/27/2017 12:00:00 AM,AVN,7P7361A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,UNINCORP. AREAS,OKANOGAN
423634,11/06/2017 12:00:00 AM,AVN,1S7310A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,TACOMA,PIERCE
412106,10/31/2014 12:00:00 AM,Written Warning,7D4305C,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,CLALLAM
413819,06/27/2016 12:00:00 AM,Written Warning,3E6179A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,ARLINGTON,SNOHOMISH
412681,09/23/2014 12:00:00 AM,Written Warning,7D4266C,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),TACOMA,PIERCE
412107,08/29/2015 12:00:00 AM,Written Warning,7D5241A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,KITSAP
413732,09/03/2015 12:00:00 AM,Written Warning,1L5246B,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",VANCOUVER,CLARK
413176,10/28/2016 12:00:00 AM,Written Warning,7B6302A,314.55.095(2),(MJ) Exceeding maximum serving requirements for marijuana-infused products.,TUMWATER,THURSTON
415998,02/15/2017 12:00:00 AM,Written Warning,7E7046A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),BATTLE GROUND,CLARK
415709,08/30/2017 12:00:00 AM,Written Warning,7D7242A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),TACOMA,PIERCE
414740,08/31/2017 12:00:00 AM,Written Warning,4I7243A,314.55.092,(MJ) Failure to submit monthly tax reports and/or payments.,OMAK,OKANOGAN
415130,08/22/2017 12:00:00 AM,Written Warning,1F7234A,314.55.083(4),(MJ) Failure to maintain required security alarm and surveillance systems.,OLYMPIA,THURSTON
412660,08/22/2017 12:00:00 AM,Written Warning,7M7234A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,GRANT
422158,08/25/2017 12:00:00 AM,Written Warning,1J7237A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,VANCOUVER,CLARK
415641,08/24/2017 12:00:00 AM,Written Warning,4D7236B,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",WALLA WALLA (CITY),WALLA WALLA
416289,08/22/2017 12:00:00 AM,Written Warning,7G7234A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),EVERETT,SNOHOMISH
424273,08/10/2017 12:00:00 AM,Written Warning,4H7222A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,CLE ELUM,KITTITAS
416824,08/16/2017 12:00:00 AM,Written Warning,7J7228A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORPORATED AREAS,THURSTON
412239,05/02/2014 12:00:00 AM,Written Warning,7F4122A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,EVERETT,SNOHOMISH
414573,08/08/2017 12:00:00 AM,Written Warning,2N7220A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,UNINCORPORATED AREAS,KING
417095,08/14/2017 12:00:00 AM,Written Warning,7J7226A,314.55.084,"(MJ) Using unauthorized pesticides, soil amendments, fertilizers, other crop production aids.",SEATTLE,KING
416289,08/22/2017 12:00:00 AM,Written Warning,7G7234A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),EVERETT,SNOHOMISH
416475,08/15/2017 12:00:00 AM,Written Warning,7L7227A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),MOXEE,YAKIMA
415944,03/10/2017 12:00:00 AM,Written Warning,7O7069A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,LINCOLN
412977,04/25/2016 12:00:00 AM,Written Warning,7R6116B,314.55.087,(MJ) Records: Improper recordkeeping. (producer),UNINCORP. AREAS,SAN JUAN
413846,08/01/2017 12:00:00 AM,Written Warning,1K7240B,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,LONGVIEW,COWLITZ
412239,05/02/2014 12:00:00 AM,Written Warning,7F4122A,314.55.083(2),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),EVERETT,SNOHOMISH
416791,08/01/2017 12:00:00 AM,Written Warning,7L7213A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,KLICKITAT
417118,08/02/2017 12:00:00 AM,Written Warning,7D7214A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),TACOMA,PIERCE
414136,05/25/2017 12:00:00 AM,Written Warning,7G7145A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),UNINCORPORATED AREAS,SNOHOMISH
413374,08/04/2017 12:00:00 AM,Written Warning,1P7216A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,TACOMA,PIERCE
416968,07/25/2017 12:00:00 AM,Written Warning,7G7206A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),ARLINGTON,SNOHOMISH
415873,08/03/2017 12:00:00 AM,Written Warning,7N7215A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORPORATED AREAS,SPOKANE
414136,05/25/2017 12:00:00 AM,Written Warning,7G7145A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,SNOHOMISH
412271,08/14/2017 12:00:00 AM,Written Warning,7G7226A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),UNINCORPORATED AREAS,SNOHOMISH
415486,08/02/2017 12:00:00 AM,Written Warning,3M7214A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,REDMOND,KING
412271,08/14/2017 12:00:00 AM,Written Warning,7G7226A,314.55.035,(MJ) True party of interest violation.,UNINCORPORATED AREAS,SNOHOMISH
413541,08/18/2017 12:00:00 AM,Written Warning,1W7230A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,PORT ORCHARD,KITSAP
414042,08/29/2017 12:00:00 AM,Written Warning,7G7241A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,SNOHOMISH
414970,08/29/2017 12:00:00 AM,Written Warning,1M7241A,314.55.092,(MJ) Failure to submit monthly tax reports and/or payments.,BATTLE GROUND,CLARK
422572,08/17/2017 12:00:00 AM,Written Warning,4D7229A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,UNINCORP. AREAS,BENTON
418443,08/08/2017 12:00:00 AM,Written Warning,7M7220A,314.55.085,(MJ) Violation of transportation requirements.,UNINCORPORATED AREAS,SPOKANE
412977,04/25/2016 12:00:00 AM,Written Warning,7R6116B,314.55.083(1),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,SAN JUAN
422012,08/03/2017 12:00:00 AM,Written Warning,1C7215A,69.50.535,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORPORATED AREAS,THURSTON
415942,05/15/2017 12:00:00 AM,AVN,7L7135A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORP. AREAS,GRANT
412061,09/30/2015 12:00:00 AM,AVN,7O5273A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),PASCO,FRANKLIN
413211,10/31/2017 12:00:00 AM,AVN,7E7304A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,WAHKIAKUM
