Tradename,License #,UBI,Street Address,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateIssued,DayPhone,ManuallyCleaned,Source
THE M STORE                                  ,415303,6.04E+15,1503 A E NOB HILL BLVD        ,                         ,YAKIMA                  ,WA,YAKIMA,989010000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191018,4252603482,0,0
ALTERNATIVE MEDICINE COLLECTIVE,77000,6.03E+15,15041 BOTHELL WAY NE,,SEATTLE,WA,KING,981093019,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180327,2069159212,1,https://data.lcb.wa.gov/Licensing/Licensed-Businesses/u3zh-ri66
CRAFT CANNABIS                               ,414065,6.04E+15,1510 N WENATCHEE AVE          ,                         ,WENATCHEE               ,WA,CHELAN,988011157,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200624,5096799999,0,0
CANNABIS CENTRAL                             ,422944,6.03E+15,1514 W UNIVERSITY WAY         ,                         ,ELLENSBURG              ,WA,KITTITAS,989262337,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200320,5092011144,0,0
4:20 FRIENDLY                                ,413586,6.03E+15,1515 LEWIS ST                 ,                         ,SPOKANE                 ,WA,SPOKANE,992249785,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190924,5094990999,0,0
TOKER FRIENDLY                               ,417486,6.03E+15,1515 S LYONS RD  STE B        ,STE B                    ,AIRWAY HEIGHTS          ,WA,SPOKANE,990010000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190809,5092448728,0,0
THE REEF                                     ,426562,6.04E+15,1525 E OLIVE WAY STE B        ,                         ,SEATTLE                 ,WA,KING,981222129,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200214,2067556345,0,0
ORCAS ISLAND CANNABIS                        ,420390,6.03E+15,1533 MT BAKER RD              ,                         ,EASTSOUND               ,WA,SAN JUAN,982450000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200602,3603175704,0,0
GYPSY GREEN                                  ,421900,6.03E+15,1570 N NATIONAL AVE STE 105   ,                         ,CHEHALIS                ,WA,LEWIS,985322215,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200407,5055507710,0,0
KUSHMAN                                      ,421552,6.03E+15,15804 HIGHWAY 99 UNIT A       ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980871426,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200121,4254441575,0,0
PUFF N CHILL LLC                             ,415238,6.04E+15,15919 HWY 99                  ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980871427,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200417,4252437082,0,0
WHITE RABBIT RETAIL                          ,414398,6.03E+15,15928 HWY 99                  ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980870000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191012,4257454242,0,0
THE GRASS IS ALWAYS GREENER                  ,430424,6.03E+15,15935 REDMOND WAY             ,                         ,REDMOND                 ,WA,KING,980523836,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200616,2064094398,0,0
ALWAYS GREENER DOWNTOWN                      ,415486,6.04E+15,15937 REDMOND WAY STE B       ,                         ,REDMOND                 ,WA,KING,980523836,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200312,4258615497,0,0
A GREENER TODAY MARIJUANA                    ,414814,6.03E+15,16053 AURORA AVE N STE B      ,STE B                    ,SHORELINE               ,WA,KING,981332610,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191018,2068017756,0,0
YAKIMA WEED CO                               ,353928,6.04E+15,1606 FRUITVALE BLVD           ,                         ,YAKIMA                  ,WA,YAKIMA,989021237,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190830,2066826644,0,0
IT IS LIT                                    ,423203,6.04E+15,1611 S SMITTYS BLVD  STE B    ,STE B                    ,RITZVILLE               ,WA,ADAMS,991692264,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200320,5096600497,0,0
2020 SOLUTIONS                       ,422239,6.04E+15,1615 BASIN ST SW              ,                         ,EPHRATA                 ,WA,GRANT,988232134,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191213,3609154944,0,0
MARLEY 420                                   ,420889,6.03E+15,16204 SE 272ND ST  STE 1      ,STE 1                    ,COVINGTON               ,WA,KING,980428213,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191224,2067147733,0,0
MAIN STREET MARIJUANA EAST                   ,421805,6.04E+15,16219 SE 12TH ST STE 104      ,                         ,VANCOUVER               ,WA,CLARK,986838905,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200320,3606063260,0,0
POT SHOP                                     ,79013,6.03E+15,1628 DEXTER AVE N STE A       ,                         ,SEATTLE                 ,WA,KING,981093019,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190822,6145615684,0,0
SEEDZ FAMILY                                 ,430373,6.03E+15,16300 MOTOR PL STE A          ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980876516,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200603,4252809482,0,0
ORIGINS                                      ,425507,6.04E+15,16390 CLEVELAND ST            ,                         ,REDMOND                 ,WA,KING,980524314,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190924,2069223954,0,0
GREEN ROOM OH INC.                           ,422103,6.04E+15,1640 NE GOLDIE ST STE B       ,                         ,OAK HARBOR              ,WA,ISLAND,982774835,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190620,2065048629,0,0
A GREENER TODAY MARIJUANA-GOLD BAR           ,422168,6.04E+15,16810 415TH AVE SE STE A-2    ,                         ,GOLD BAR                ,WA,SNOHOMISH,982510000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191105,4257736037,0,0
THE FORBIDDEN FLOWER                         ,413903,6.03E+15,1701 NW MARKET ST             ,                         ,SEATTLE                 ,WA,KING,981075225,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),,2062350635,0,0
NATURAL BLESSING CANNABIS                    ,423390,6.03E+15,17024 PACIFIC AVE S           ,STE B                    ,SPANAWAY                ,WA,PIERCE,983874940,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200529,2534333961,0,0
POT ZONE                                     ,415229,6.03E+15,1703 SE SEDGWICK RD           ,STE 113                  ,PORT ORCHARD            ,WA,KITSAP,983669599,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191025,2533127280,0,0
SEATTLE CANNABIS CO.                         ,426896,6.03E+15,1713 NW MARKET ST,,SEATTLE,WA,KING,981075225,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180605,2062945839,0,0
THE FIRE HOUSE                               ,400772,6.04E+15,1714 CANYON RD                ,                         ,ELLENSBURG              ,WA,KITTITAS,989269739,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200125,3607910112,0,0
DOCKSIDE CANNABIS                            ,414174,6.03E+15,1728 4TH AVE S                ,                         ,SEATTLE                 ,WA,KING,981340000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191221,2062236292,0,0
365 RECREATIONAL CANNABIS                    ,423784,6.03E+15,17517 15TH AVE NE #B          ,                         ,SHORELINE               ,WA,KING,981553801,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200619,2065577778,0,0
KUSH KLUB                                    ,421876,6.04E+15,17547 15TH AVE NE             ,                         ,SHORELINE               ,WA,KING,981553801,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191025,2067691282,0,0
KITSAP CANNABIS 2                            ,421359,6.04E+15,1762 VILLAGE LN SE            ,                         ,PORT ORCHARD            ,WA,KITSAP,983662644,MARIJUANA RETAILER                 ,PENDING (ISSUED),20191029,3608658092,0,0
LIVING WELL ENTERPRISES                      ,420741,6.03E+15,17730 AMBAUM BLVD S UNIT E    ,                         ,BURIEN                  ,WA,KING,981481785,MARIJUANA RETAILER                 ,PENDING (ISSUED),20191101,2068128092,0,0
CANNAZONE                                    ,422000,6.03E+15,17903 STATE ROUTE 536         ,                         ,MOUNT VERNON            ,WA,SKAGIT,982733269,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200422,8602092288,0,0
CANNAZONE                                    ,424599,6.03E+15,17905 STATE ROUTE 536         ,                         ,MOUNT VERNON            ,WA,SKAGIT,982733269,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191227,8602092288,0,0
EUPHORIUM 420                                ,420895,6.04E+15,17917 VASHON HWY SW           ,                         ,VASHON                  ,WA,KING,980705204,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200523,4255774533,0,0
MOUNT VERNON CANNABIS                        ,422796,6.04E+15,17929 STATE ROUTE 536         ,STE B                    ,MOUNT VERNON            ,WA,SKAGIT,982733216,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191227,3608994428,0,0
THE KUSHERY                                  ,415517,6.03E+15,18026 STATE ROUTE 9 SE STE 2  ,                         ,SNOHOMISH               ,WA,SNOHOMISH,982965330,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200527,3608633256,0,0
THE NOVEL TREE                               ,414983,6.03E+15,1817 130TH AVE NE SUITE B & C ,                         ,BELLEVUE                ,WA,KING,980052225,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191101,3609301700,0,0
CM&N ENTERPRISES                             ,422527,6.04E+15,1821 SE 192ND AVE             ,                         ,VANCOUVER               ,WA,CLARK,986070000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170422,2064987301,0,0
HIGH SOCIETY                                 ,414430,6.03E+15,1824 BROADWAY                 ,                         ,EVERETT                 ,WA,SNOHOMISH,982012349,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191219,2063071651,0,0
GREEN SOLUTION PLACE                         ,422504,6.03E+15,1845 1ST ST                   ,                         ,CHENEY                  ,WA,SPOKANE,990041966,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191115,2539732476,0,0
WHIDBEY ISLAND CANNABIS CO.                  ,423993,6.03E+15,1860 SCOTT RD                 ,                         ,FREELAND                ,WA,ISLAND,982499430,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191218,3603216151,0,0
FREELAND CANNABIS COMPANY                    ,422777,6.04E+15,18646 SR 525 STE B            ,STE B                    ,FREELAND                ,WA,ISLAND,982498752,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200325,4255126880,0,0
PRC                                          ,414574,6.03E+15,18729 FIR ISLAND RD STE C     ,                         ,MOUNT VERNON            ,WA,SKAGIT,982738159,MARIJUANA RETAILER                 ,PENDING (ISSUED),20190518,3604456221,0,0
KAHD HOLDING                                 ,421826,6.04E+15,18850 103RD AVE SW UNIT 105   ,                         ,VASHON                  ,WA,KING,980705250,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191112,2068985900,0,0
LIVING WELL ENTERPRISES                      ,414454,6.03E+15,19001 VASHON HIGHWAY SOUTHWEST,                         ,VASHON ISLAND           ,WA,KING,980700000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191101,2062612916,0,0
UNCLE ANDO'S WURLD OF WEED                   ,415045,6.03E+15,1905 JOHNSON RD STE A         ,                         ,CENTRALIA               ,WA,LEWIS,985311926,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191113,3602813921,0,0
CANNABIS COUNTRY STORE                       ,414970,6.03E+15,1910 W MAIN ST SUITE 101      ,                         ,BATTLE GROUND           ,WA,CLARK,986040000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200108,3607987194,0,0
SMUGGLER BROTHERS                            ,413762,6.03E+15,1912 STATE ROUTE 20           ,                         ,SEDRO WOOLLEY           ,WA,SKAGIT,982840000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191112,3606473437,0,0
CASCADE KROPZ                                ,425539,6.03E+15,19127 SMOKEY POINT BLVD BLDG 1,                         ,ARLINGTON               ,WA,SNOHOMISH,982234264,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191214,3606595422,0,0
LOVELY BUDS NORTH                            ,412490,6.04E+15,1919 E FRANCIS AVE  STE B     ,                         ,SPOKANE                 ,WA,SPOKANE,992082747,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200130,4065465411,0,0
HIGH END MARKET PLACE                        ,429699,6.03E+15,1924 BROADWAY ST SUITE A      ,                         ,VANCOUVER               ,WA,CLARK,986633380,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191231,3606953612,0,0
THE KUSHERY                                  ,415513,6.04E+15,19258 15TH AVE NE STE B       ,                         ,LAKE FOREST PARK        ,WA,KING,981552315,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200527,4252098924,0,0
HERBAL NATION                                ,413683,6.03E+15,19302 BOTHELL EVERETT HWY     ,                         ,BOTHELL                 ,WA,SNOHOMISH,980127113,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200110,4254861111,0,0
A GREENER TODAY MARIJUANA                    ,422044,6.04E+15,19315 BOTHELL EVERETT HWY #1  ,UNIT 1                   ,BOTHELL                 ,WA,SNOHOMISH,980127112,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200604,4257736021,0,0
GREEN THEORY                                 ,425068,6.04E+15,1940 124TH AVE NE STE A-101   ,                         ,BELLEVUE                ,WA,KING,980052130,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200512,2069921911,1,googlemaps
GREEN FIRE CANNABIS                          ,350641,6.03E+15,1956 1ST AVE S                ,                         ,SEATTLE                 ,WA,KING,981341406,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190810,2066233792,0,0
BLOWIN SMOKE                                 ,422202,6.03E+15,1967 HIGHWAY 395 S STE C      ,                         ,CHEWELAH                ,WA,STEVENS,991099708,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200103,5099357420,0,0
THE BAKE SHOP                                ,413426,6.03E+15,19705 N GRIFFIN RD            ,                         ,PROSSER                 ,WA,BENTON,993500000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200430,5097782512,0,0
420 GRAND CENTRAL                            ,428560,6.04E+15,19941 OLD HIGHWAY 99 SW       ,                         ,ROCHESTER               ,WA,THURSTON,985798689,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200306,3604026368,0,0
SWEET GREENS NORTHWEST                       ,413847,6.03E+15,19943 OLD HWY 99 SW           ,                         ,ROCHESTER               ,WA,THURSTON,985798689,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20171212,3608587630,0,0
SECRET HERB SHOP                             ,413994,6.02E+15,2 COLUMBIA DR                 ,STE A                    ,KETTLE FALLS            ,WA,FERRY,991419461,MARIJUANA RETAILER                 ,PENDING (ISSUED),20200522,5096844420,0,0
BUD HUT                                      ,422781,6.04E+15,200 SUZANNE LANE STE D        ,                         ,MOUNT VERNON            ,WA,SKAGIT,982739514,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200128,3606681111,0,0
GREEN2GO TOKIO                               ,422655,6.03E+15,2008 N DURRY RD UNIT 2        ,                         ,SPRAGUE                 ,WA,ADAMS,990329621,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200307,5095917100,0,0
2020 SOLUTIONS                   ,415470,6.04E+15,2018 IRON ST STE A            ,                         ,BELLINGHAM              ,WA,WHATCOM,982264212,MARIJUANA RETAILER                 ,PENDING (ISSUED),20191011,2068180966,0,0
SHADE'S GREEN EMPORIUM                       ,415521,6.03E+15,202 AVE D                     ,                         ,SNOHOMISH               ,WA,SNOHOMISH,982902745,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),,4256337515,0,0
420 HOLIDAY                                  ,415526,6.03E+15,2028 10TH AVE                 ,                         ,LONGVIEW                ,WA,COWLITZ,986324007,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191214,3607033103,0,0
WESTERN BUD                                  ,422037,6.04E+15,20291 SR 20 UNIT 2            ,                         ,BURLINGTON              ,WA,SKAGIT,941409316,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191023,2062097254,0,0
DANK'S WONDER EMPORIUM                       ,423571,6.03E+15,203 KINWOOD ST SE             ,                         ,LACEY                   ,WA,THURSTON,985031445,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),,3609158468,0,0
GRASS                                        ,415531,6.03E+15,205 W STEWART RD              ,SUITE 107                ,MOUNT VERNON            ,WA,SKAGIT,982735411,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20161220,3604738393,0,0
MOLECULE                                     ,426443,6.04E+15,206 MORGAN ST                 ,                         ,DAVENPORT               ,WA,LINCOLN,991225178,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190228,5099362310,0,0
EVERGREEN MEADOWS                            ,425605,6.04E+15,208 E PINE ST                 ,                         ,SHELTON                 ,WA,MASON,985841418,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191024,4258294959,0,0
SAPPHIRE CANNABIS                            ,422701,6.02E+15,209 E 4TH ST STE B            ,                         ,SPRAGUE                 ,WA,LINCOLN,990320000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200501,5099880219,0,0
EUPHORIUM 420                                ,414500,6.03E+15,20925 CYPRESS WAY STE C-103   ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980367989,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190917,9168359616,0,0
NORTH BAY MARIJUANA                          ,413407,6.03E+15,211 E NORTH BAY RD            ,STE B                    ,ALLYN                   ,WA,MASON,985240000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190907,3608014269,0,0
BUDEEZ                                       ,420661,6.04E+15,2111 E 11TH ST                ,                         ,BREMERTON               ,WA,KITSAP,983104810,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191213,3606207114,0,0
EUPHORIUM                                    ,414495,6.03E+15,21127 STATE ROUTE 9 SE        ,                         ,WOODINVILLE             ,WA,SNOHOMISH,980729703,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191008,2063352683,0,0
HERBAL LEGENDS                               ,413702,6.03E+15,2118 JAMES ST                 ,                         ,BELLINGHAM              ,WA,WHATCOM,982254140,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170825,3605941738,0,0
THE HERBERY                                  ,84045,6.03E+15,212 NE 164TH AVE STE 11       ,                         ,VANCOUVER               ,WA,CLARK,986840000,MARIJUANA RETAILER                 ,CLOSED (TEMPORARY),20191024,3609490319,0,0
CHRONIC SOLUTIONS                            ,415222,6.03E+15,"212 W WINESAP RD STE 101, 102 ",                         ,BOTHELL                 ,WA,SNOHOMISH,980129210,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200121,4256737420,0,0
REEFER DEN                                   ,404933,6.03E+15,2123 W SIMS WAY APT 1         ,                         ,PORT TOWNSEND           ,WA,JEFFERSON,983680000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191220,3603020393,0,0
420 TACOMA                                   ,423372,6.03E+15,2128 S 37TH ST                ,                         ,TACOMA                  ,WA,PIERCE,984097445,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200116,3604026368,0,0
SEAWEED RETAIL                               ,422570,6.04E+15,21412 HIGHWAY 99 STE A        ,                         ,EDMONDS                 ,WA,SNOHOMISH,980267748,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191023,4255333589,0,0
GREEN2GO                                     ,410273,6.03E+15,214307 E SR 397               ,                         ,KENNEWICK               ,WA,BENTON,993377198,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200307,5095917100,0,0
APEX CANNABIS                                ,422447,6.03E+15,21502 E GILBERT RD            ,                         ,OTIS ORCHARDS           ,WA,SPOKANE,990279241,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190702,5094990646,0,0
FORBIDDEN CANNABIS CLUB                      ,426808,6.03E+15,21509 HWY 410 STE 1           ,                         ,BONNEY LAKE             ,WA,PIERCE,983910000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200228,2532241442,0,0
THE GRASS STATION                            ,424877,6.04E+15,216 ROYAL ANNE DR SW          ,                         ,GEORGE                  ,WA,GRANT,988480000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191106,5094998462,0,0
PRIMO CANNABIS                               ,423885,6.04E+15,21630 E GILBERT AVE           ,                         ,OTIS ORCHARDS           ,WA,SPOKANE,990279241,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200320,5099279333,0,0
TROVE MEDICAL AND RECREATIONAL               ,414871,6.03E+15,218 N SAMISH WAY STE 103      ,                         ,BELLINGHAM              ,WA,WHATCOM,982250000,MARIJUANA RETAILER                 ,PENDING (ISSUED),20191224,3603933459,0,0
THE GALLERY - SOUTH HILL                     ,414130,6.03E+15,21802 MOUNTAIN HIGHWAY E STE 2,                         ,SPANAWAY                ,WA,PIERCE,983870000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190926,3052988577,0,0
THE GALLERY SPANAWAY                         ,413420,6.03E+15,21802 MOUNTAIN HWY E  STE 1   ,                         ,SPANAWAY                ,WA,PIERCE,983870000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190709,3052988577,0,0
FWEEDOM CANNABIS                             ,415031,6.03E+15,21911 64TH AVE W   STE D      ,STE D                    ,MOUNTLAKE TERRACE       ,WA,SNOHOMISH,980430000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191120,4259540640,0,0
BUD HUT                                      ,422792,6.04E+15,2200 TALLEY WAY  STE A        ,SUITE A                  ,KELSO                   ,WA,COWLITZ,986265511,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200128,3606681111,0,0
RAINIER CANNABIS                             ,423224,6.03E+15,22002 64TH AVE W STE 2A       ,SUITE 2A                 ,MOUNTLAKE TERRACE       ,WA,SNOHOMISH,980432547,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191122,4252100546,0,0
GREEN GROTTO,423779,6.03E+15,22106 SE 51ST PL,,ISSAQUAH                ,WA,KING,980272519,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180309,4252466547,1,https://data.lcb.wa.gov/Licensing/Licensed-Businesses/u3zh-ri66
THE LINK                                     ,422632,6.04E+15,2211 46TH AVE                 ,                         ,LONGVIEW                ,WA,COWLITZ,986325013,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200417,2062000462,0,0
ZIPS CANNABIS                                ,423754,6.04E+15,2215 4TH AVE S                ,                         ,SEATTLE                 ,WA,KING,981341516,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200207,5099903124,0,0
PHAT SACKS CORP                              ,423536,6.03E+15,22624 MERIDIAN AVE S STE B    ,                         ,BOTHELL                 ,WA,SNOHOMISH,980218358,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191121,2062618206,0,0
KALEAFA                                      ,422251,6.04E+15,22834 PACIFIC HWY S           ,                         ,DES MOINES              ,WA,KING,981987262,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20180221,3602861348,0,0
THE WEED SHACK                               ,414712,6.03E+15,2294 STATE ROUTE 109          ,                         ,HOQUIAM                 ,WA,GRAYS HARBOR,985500000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191220,2539059448,0,0
KINDLEBERGER LLC                             ,429212,6.04E+15,230 NE JUNIPER ST STE 100     ,                         ,ISSAQUAH                ,WA,KING,980272519,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200310,2063355857,0,0
ISSAQUAH CANNABIS COMPANY                    ,414867,6.03E+15,230 NE JUNIPER ST STE#201     ,STE#201                  ,ISSAQUAH                ,WA,KING,980272519,MARIJUANA RETAILER                 ,PENDING (ISSUED),20191011,2069492124,0,0
UNCLES IKE'S                                 ,414533,6.05E+15,2310 EAST UNION ST            ,                         ,SEATTLE                 ,WA,KING,981222966,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200624,2064203784,0,0
MAIN STREET MARIJUANA                        ,414876,6.03E+15,2314 MAIN ST                  ,                         ,VANCOUVER               ,WA,CLARK,986602642,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200320,3606063260,0,0
PRC                                          ,415198,6.05E+15,23221 EDMONDS WAY STE A       ,STE A                    ,EDMONDS                 ,WA,SNOHOMISH,980260000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200514,4253432272,0,0
A & J MANAGEMENT GROUP                       ,421491,6.03E+15,234 DIVISION ST NW STE B      ,                         ,OLYMPIA                 ,WA,THURSTON,985024916,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200407,5055507710,0,0
GREENSIDE                                    ,414295,6.03E+15,23407 PACIFIC HWY S           ,                         ,DES MOINES              ,WA,KING,981988738,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200603,2067907036,0,0
GANJA VITA                                   ,415539,6.03E+15,23441 NE STATE ROUTE 3        ,                         ,BELFAIR                 ,WA,MASON,985280000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191206,2535143949,0,0
FORBIDDEN CANNABIS LLC                       ,414803,6.04E+15,2358 ELMWAY                   ,                         ,OKANOGAN                ,WA,OKANOGAN,988400000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200414,2532241442,0,0
FORBIDDEN CANNABIS CLUB                      ,421015,6.04E+15,2358 ELMWAY UNIT B            ,                         ,OKANOGAN                ,WA,OKANOGAN,988409790,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190517,2539876637,0,0
THE ROOT CELLAR                              ,415343,6.03E+15,23632 NE STATE ROUTE 3        ,                         ,BELFAIR                 ,WA,MASON,985288309,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191227,3604348767,0,0
"GREEN LADY WESTSIDE, INC.                    ",416540,6.04E+15,2405 HARRISON AVE NW STE 201  ,                         ,OLYMPIA                 ,WA,THURSTON,985024592,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191221,5098697475,0,0
SWEET LEAF 3                                 ,422298,6.04E+15,24090 NE STATE ROUTE 3 STE I  ,                         ,BELFAIR                 ,WA,MASON,985289665,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190807,3606278754,0,0
PONDER                                       ,413809,6.03E+15,2413 E UNION ST               ,                         ,SEATTLE                 ,WA,KING,981223045,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191203,2064202180,0,0
WASHINGTON STATE CANNABIS COMPANY            ,414559,6.04E+15,2415 ROBERTSON DRIVE          ,                         ,RICHLAND                ,WA,BENTON,993540000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200116,2066607221,0,0
GREENHAND                                    ,420898,6.03E+15,2424 N MONROE STREET          ,                         ,SPOKANE                 ,WA,SPOKANE,992053349,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200418,2067357072,0,0
CHOICE CANNABIS                              ,422466,6.04E+15,2427 W SIMS WAY STE F         ,                         ,PORT TOWNSEND           ,WA,JEFFERSON,983682247,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200512,3603794006,0,0
NIRVANA CANNABIS COMPANY                     ,427666,6.03E+15,24713 E WELLESLEY AVE         ,                         ,OTIS ORCHARDS           ,WA,SPOKANE,990279709,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191125,5098082361,0,0
420 EVERGREEN                                ,427533,6.03E+15,25 NE 2ND ST STE B            ,                         ,STEVENSON               ,WA,SKAMANIA,986484215,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200221,9715060696,0,0
CANNABIS 21                                  ,415344,6.03E+15,2510 SANDRA AVE STE A         ,                         ,CENTRALIA               ,WA,LEWIS,985319321,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170131,3602397149,0,0
