License #,ID #,Trade Name,Issue Date,premise id,L/Street,L/City,CITY,County,Updated 2019,Gender,% Ownership,Self-Identified Race,Census Category,Race of Majority Ownership (Cumulative),Percent ofMajority,Ownership,Percent of Cumulative Majority,Final
413544,6033544480010001,LONGVIEW FREEDOM MARKET,20191214,394,971 14TH AVE STE 110,LONGVIEW,4,8,No,F,33.33%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413544,6033544480010001,LONGVIEW FREEDOM MARKET,20191214,394,971 14TH AVE STE 110,LONGVIEW,4,8,No,,33.33%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413544,6033544480010001,LONGVIEW FREEDOM MARKET,20191214,394,971 14TH AVE STE 110,LONGVIEW,4,8,No,F,33.34%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413551,6033332780010001,OLD TOBY,20190831,394,391 NW STATE AVE STE 1,CHEHALIS,2,21,No,F,49.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413551,6033332780010001,OLD TOBY,20190831,394,391 NW STATE AVE STE 1,CHEHALIS,2,21,No,M,51.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413558,6033283210010001,GANJA GODDESS,20190803,394,3207 1ST AVE S  UNIT A,SEATTLE,26,17,Yes,Male,15.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413558,6033283210010001,GANJA GODDESS,20190803,394,3207 1ST AVE S  UNIT A,SEATTLE,26,17,Yes,Male,85.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413564,6034023580010001,THE GRASS IS ALWAYS GREENER,20190521,394,7505 W LAKE SAMMAMISH PKY NE B,REDMOND,24,17,No,M,10.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413564,6034023580010001,THE GRASS IS ALWAYS GREENER,20190521,394,7505 W LAKE SAMMAMISH PKY NE B,REDMOND,24,17,No,F,90.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413570,6043033030010001,HERBN ELEMENTS,20190425,394,11013 LAKE CITY WAY NE,SEATTLE,26,17,Yes,Male,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413586,6033515760010001,4:20 FRIENDLY,20190924,394,1515 LEWIS ST,SPOKANE,10,32,Yes,Female,50.00%,Alaskan Native,American Indian or Alaska Native,No Majority,50%,Non-Minority Owned,50%,Non-Minority Owned
413586,6033515760010001,4:20 FRIENDLY,20190924,394,1515 LEWIS ST,SPOKANE,10,32,Yes,Female,50.00%,Caucasian,White,No Majority,50%,Non-Minority Owned,50%,Non-Minority Owned
413596,6043105400010001,THE BAKE SHOP,20190702,394,4007 MAIN ST,UNION GAP,11,39,No,F,5.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413596,6043105400010001,THE BAKE SHOP,20190702,394,4007 MAIN ST,UNION GAP,11,39,No,M,95.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413600,6033395640010003,THE HAPPY CROP SHOPPE,20191018,394,5736 VALE RD,CASHMERE,0,4,No,M,6.25%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413600,6033395640010003,THE HAPPY CROP SHOPPE,20191018,394,5736 VALE RD,CASHMERE,0,4,No,F,6.25%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413600,6033395640010003,THE HAPPY CROP SHOPPE,20191018,394,5736 VALE RD,CASHMERE,0,4,No,F,12.50%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413600,6033395640010003,THE HAPPY CROP SHOPPE,20191018,394,5736 VALE RD,CASHMERE,0,4,No,M,25.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413600,6033395640010003,THE HAPPY CROP SHOPPE,20191018,394,5736 VALE RD,CASHMERE,0,4,No,M,25.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413600,6033395640010003,THE HAPPY CROP SHOPPE,20191018,394,5736 VALE RD,CASHMERE,0,4,No,M,25.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413677,6035652650010002,THE JOINT,20191220,394,1840 JAMES ST,BELLINGHAM,1,37,Yes,Male,34.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413677,6035652650010002,THE JOINT,20191220,394,1840 JAMES ST,BELLINGHAM,1,37,Yes,Male,66.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413683,6034896600010001,HERBAL NATION,20190228,394,19302 BOTHELL EVERETT HWY,BOTHELL,0,31,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413692,6034174700010001,RUCKUS,20190719,394,1465 E REPUBLICAN ST,SEATTLE,26,17,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413692,6034174700010001,RUCKUS,20190719,394,1465 E REPUBLICAN ST,SEATTLE,26,17,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413727,6033504390010001,ISLAND HERB,20190928,394,5565 VANBARR PLACE UNIT F,FREELAND,0,15,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413729,6033507270010001,CULT. CANNABIS CO.,20191204,394,6061 PORTAL WAY,FERNDALE,4,37,No,M,49.00%,White,White,Asian,51%,Minority Owned,51%,Asian
413729,6033507270010001,CULT. CANNABIS CO.,20191204,394,6061 PORTAL WAY,FERNDALE,4,37,No,M,51.00%,Japanese,Asian,Asian,51%,Minority Owned,51%,Asian
413732,6033524150010002,NEW VANSTERDAM,20191214,394,6515 E MILL PLAIN BLVD,VANCOUVER,5,6,Yes,Male,25.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413732,6033524150010002,NEW VANSTERDAM,20191214,394,6515 E MILL PLAIN BLVD,VANCOUVER,5,6,Yes,Male,75.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413739,6033538100010002,SATIVA SISTERS,20191214,394,10525 E TRENT AVE STE 1,SPOKANE,7,32,No,M,25.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413739,6033538100010002,SATIVA SISTERS,20191214,394,10525 E TRENT AVE STE 1,SPOKANE,7,32,No,F,25.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413739,6033538100010002,SATIVA SISTERS,20191214,394,10525 E TRENT AVE STE 1,SPOKANE,7,32,No,F,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413762,6033558930010001,SMUGGLER BROTHERS,20191112,394,1912 STATE ROUTE 20,SEDRO WOOLLEY,8,29,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413773,6034102670010001,THE SLOW BURN,20190531,394,4101 MAIN STREET,UNION GAP,11,39,No,M,20.00%,Caucasian/Native American,Multiracial,White,80%,Non-Minority Owned,80%,Non-Minority Owned
413773,6034102670010001,THE SLOW BURN,20190531,394,4101 MAIN STREET,UNION GAP,11,39,No,F,20.00%,Caucasian,White,White,80%,Non-Minority Owned,80%,Non-Minority Owned
413773,6034102670010001,THE SLOW BURN,20190531,394,4101 MAIN STREET,UNION GAP,11,39,No,F,20.00%,White,White,White,80%,Non-Minority Owned,80%,Non-Minority Owned
413773,6034102670010001,THE SLOW BURN,20190531,394,4101 MAIN STREET,UNION GAP,11,39,No,M,20.00%,White,White,White,80%,Non-Minority Owned,80%,Non-Minority Owned
413773,6034102670010001,THE SLOW BURN,20190531,394,4101 MAIN STREET,UNION GAP,11,39,No,F,20.00%,Caucasian,White,White,80%,Non-Minority Owned,80%,Non-Minority Owned
413782,6043160690010002,TOP SHELF 420,20190824,394,3015 PACIFIC AVE SE,OLYMPIA,3,34,Yes,Female,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413791,6033501150010001,EVERGREEN MARKET-NORTH RENTON,20191107,394,409 RAINIER AVE N,RENTON,25,17,No,M,33.33%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413791,6033501150010001,EVERGREEN MARKET-NORTH RENTON,20191107,394,409 RAINIER AVE N,RENTON,25,17,No,,33.33%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413791,6033501150010001,EVERGREEN MARKET-NORTH RENTON,20191107,394,409 RAINIER AVE N,RENTON,25,17,No,M,33.34%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413798,6033511700010001,GREEN OUTFITTERS,20190928,394,668 OCEAN SHORES BLVD NW,OCEAN SHORES,9,14,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413801,6034756110010001,GREEN STOP CANNABIS,20191231,394,7466 MT BAKER HWY,MAPLE FALLS,0,37,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413802,6033518190010001,BUD COMMANDER,20191005,394,849 TROSPER RD SW STE 207,TUMWATER,6,34,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413802,6033518190010001,BUD COMMANDER,20191005,394,849 TROSPER RD SW STE 207,TUMWATER,6,34,No,F,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413803,6033522420010001,CLUTCH CANNABIS,20191022,394,11537 RAINIER AVE S,SEATTLE,0,17,No,F,100.00%,Asian,Asian,Asian,100%,Minority Owned,100%,Asian
413805,6024843170010006,395 HERB INC,20191211,394,3948 3RD AVE UNIT 1,LOON LAKE,0,33,Yes,Female,5.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413805,6024843170010006,395 HERB INC,20191211,394,3948 3RD AVE UNIT 1,LOON LAKE,0,33,Yes,Female,95.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413809,6033536020010003,PONDER,20191203,394,2413 E UNION ST,SEATTLE,26,17,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413812,6033548590010001,THE GALLERY FIFE,20191207,394,5303 PACIFIC HWY E,FIFE,6,27,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413812,6033548590010001,THE GALLERY FIFE,20191207,394,5303 PACIFIC HWY E,FIFE,6,27,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413813,6033548610010001,THE GALLERY CANYON,20191207,394,11821 CANYON RD E,PUYALLUP,0,27,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413813,6033548610010001,THE GALLERY CANYON,20191207,394,11821 CANYON RD E,PUYALLUP,0,27,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413843,6034060990010001,HWY 420,20190524,394,1110 CHARLESTON BEACH RD W,BREMERTON,0,18,No,F,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413844,6017919610010003,MARY JANES'S HOUSE OF MARIJUANA ,20200110,394,245 6TH ST ,WASHOUGAL,6,6,Yes,Male,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413846,6035765800010004,KING CRONIC 3,20191219,394,551 14TH AVE,LONGVIEW,4,8,No,M,10.00%,African American,Black or African American,White,90%,Non-Minority Owned,90%,Non-Minority Owned
413846,6035765800010004,KING CRONIC 3,20191219,394,551 14TH AVE,LONGVIEW,4,8,No,M,30.00%,White,White,White,90%,Non-Minority Owned,90%,Non-Minority Owned
413846,6035765800010004,KING CRONIC 3,20191219,394,551 14TH AVE,LONGVIEW,4,8,No,M,30.00%,White,White,White,90%,Non-Minority Owned,90%,Non-Minority Owned
413846,6035765800010004,KING CRONIC 3,20191219,394,551 14TH AVE,LONGVIEW,4,8,No,M,30.00%,Caucasian,White,White,90%,Non-Minority Owned,90%,Non-Minority Owned
413870,6033559500010002,THE REEF,20191005,394,1107 N CALLOW AVE STE C,BREMERTON,1,18,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413886,6033576180010002,GREEN LEAF,20191205,394,4220 MERIDIAN ST STE 102,BELLINGHAM,1,37,Yes,Male,34.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413886,6033576180010002,GREEN LEAF,20191205,394,4220 MERIDIAN ST STE 102,BELLINGHAM,1,37,Yes,Male,66.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413893,6033590560010001,BUDDY'S,20191126,394,420 SUNSET BLVD NE STE A,RENTON,25,17,Yes,Male,9.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413893,6033590560010001,BUDDY'S,20191126,394,420 SUNSET BLVD NE STE A,RENTON,25,17,Yes,Male,9.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413893,6033590560010001,BUDDY'S,20191126,394,420 SUNSET BLVD NE STE A,RENTON,25,17,Yes,Female,9.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413893,6033590560010001,BUDDY'S,20191126,394,420 SUNSET BLVD NE STE A,RENTON,25,17,Yes,Female,13.50%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413893,6033590560010001,BUDDY'S,20191126,394,420 SUNSET BLVD NE STE A,RENTON,25,17,Yes,Male,27.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413893,6033590560010001,BUDDY'S,20191126,394,420 SUNSET BLVD NE STE A,RENTON,25,17,Yes,Male,32.50%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413901,6033591690010001,BUD HUT,20190515,394,1131 E STATE ROUTE 532,CAMANO ISLAND,0,15,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413930,6033593550010001,MUFFYS POT SHOP,20191221,394,3134 E HIGHWAY 101 SUITE A,PORT ANGELES,0,5,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413994,6024843170010005,SECRET HERB SHOP,20190523,394,2 COLUMBIA DR,KETTLE FALLS,0,10,No,F,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413996,6042776010010001,NORTHWEST CANNABIS,20190426,394,1411 E OLIVE WAY,SEATTLE,26,17,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414002,6034682750010001,T BROTHERS BUD LODGE,20191231,394,5740 RUDDELL RD SE STE C,LACEY,2,34,Yes,Male,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414060,6033457670010003,CANNAREX,20190927,394,2714 HENSON RD,MOUNT VERNON,7,29,Yes,Male,50.00%,Chinese,Asian,Asian,100%,Minority Owned,100%,Asian
414060,6033457670010003,CANNAREX,20190927,394,2714 HENSON RD,MOUNT VERNON,7,29,Yes,Male,50.00%,Asian,Asian,Asian,100%,Minority Owned,100%,Asian
414065,6043381880010001,CRAFT CANNABIS,20190822,394,1510 N WENATCHEE AVE,WENATCHEE,5,4,Yes,Female,10.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414065,6043381880010001,CRAFT CANNABIS,20190822,394,1510 N WENATCHEE AVE,WENATCHEE,5,4,Yes,Male,90.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414090,6033491670010002,KEYSTONE CREATIONS,20190926,394,31142 PACIFIC HWY S STE A,FEDERAL WAY,32,17,Yes,Male,20.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414090,6033491670010002,KEYSTONE CREATIONS,20190926,394,31140 PACIFIC HWY S STE A,FEDERAL WAY,32,17,Yes,Female,80.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414103,6043447500010001,BLOOM,20190921,394,10707 PACIFIC AVE S SUITE D,TACOMA,0,27,Yes,Male,17.50%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414103,6043447500010001,BLOOM,20190921,394,10707 PACIFIC AVE S SUITE D,TACOMA,0,27,Yes,Male,82.50%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414130,6033548700010001,THE GALLERY - SOUTH HILL,20190926,394,21806 MOUNTAIN HIGHWAY E STE 2,SPANAWAY,0,27,Yes,Male,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414130,6033548700010001,THE GALLERY - SOUTH HILL,20190926,394,21808 MOUNTAIN HIGHWAY E STE 2,SPANAWAY,0,27,Yes,Male,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414130,6033548700010001,THE GALLERY - SOUTH HILL,20190926,394,21802 MOUNTAIN HIGHWAY E STE 2,SPANAWAY,0,27,Yes,Male,49.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414130,6033548700010001,THE GALLERY - SOUTH HILL,20190926,394,21804 MOUNTAIN HIGHWAY E STE 2,SPANAWAY,0,27,Yes,Male,49.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414160,6034151100010001,LUX POT SHOP,20190413,394,10333 LAKE CITY WAY NE #101,SEATTLE,26,17,Yes,Male,25.00%,Japanese,Asian,White,75%,Non-Minority Owned,75%,Non-Minority Owned
414160,6034151100010001,LUX POT SHOP,20190413,394,10333 LAKE CITY WAY NE #101,SEATTLE,26,17,Yes,Male,12.99%,Caucasian,White,White,75%,Non-Minority Owned,75%,Non-Minority Owned
414160,6034151100010001,LUX POT SHOP,20190413,394,10333 LAKE CITY WAY NE #101,SEATTLE,26,17,Yes,Male,20.67%,Caucasian,White,White,75%,Non-Minority Owned,75%,Non-Minority Owned
414160,6034151100010001,LUX POT SHOP,20190413,394,10333 LAKE CITY WAY NE #101,SEATTLE,26,17,Yes,Male,20.67%,Caucasian,White,White,75%,Non-Minority Owned,75%,Non-Minority Owned
414160,6034151100010001,LUX POT SHOP,20190413,394,10333 LAKE CITY WAY NE #101,SEATTLE,26,17,Yes,Male,20.67%,Caucasian,White,White,75%,Non-Minority Owned,75%,Non-Minority Owned
414174,6033563140010001,DOCKSIDE CANNABIS,20191221,394,1728 4TH AVE S,SEATTLE,26,17,No,F,33.33%,Caucasian,White,No Majority,33%,Minority Owned,67%,Hispanic/Latina/Latino/Multiracial
414174,6033563140010001,DOCKSIDE CANNABIS,20191221,394,1728 4TH AVE S,SEATTLE,26,17,No,M,33.33%,Mexican,Hispanic/Latina/Latino,No Majority,33%,Minority Owned,67%,Hispanic/Latina/Latino/Multiracial
414174,6033563140010001,DOCKSIDE CANNABIS,20191221,394,1728 4TH AVE S,SEATTLE,26,17,No,M,33.40%,Mixed/Caucasian,Multiracial,No Majority,33%,Minority Owned,67%,Hispanic/Latina/Latino/Multiracial
414181,6033561890010002,NATURE'S GIFTS,20191030,394,755 W WASHINGTON ST STE C,SEQUIM,3,5,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414211,6034482820010001,CANNA4LIFE,20190809,394,721 6TH ST,CLARKSTON,2,2,Yes,Female,10.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414211,6034482820010001,CANNA4LIFE,20190809,394,721 6TH ST,CLARKSTON,2,2,Yes,,10.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414211,6034482820010001,CANNA4LIFE,20190809,394,721 6TH ST,CLARKSTON,2,2,Yes,Male,80.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414216,6033524760010002,THE ROACH 420,20191031,394,133 STATE AVE,BREWSTER,0,9,No,F,20.00%,Black,Black or African American,White,80%,Non-Minority Owned,80%,Non-Minority Owned
414216,6033524760010002,THE ROACH 420,20191031,394,133 STATE AVE,BREWSTER,0,9,No,F,80.00%,White,White,White,80%,Non-Minority Owned,80%,Non-Minority Owned
414223,6042674710010001,FLOYD'S CANNABIS CO.,20190809,394,1403 E 1ST STREET,PORT ANGELES,2,5,Yes,Male,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414225,6033570900010001,ALTITUDE,20191128,394,260 MERLOT DR,PROSSER,3,3,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414243,6041937950010001,LOCALAMSTER,20191203,394,1006 CALIFORNIA WAY,LONGVIEW,4,8,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414280,6034103470010001,FREEDOM MARKET,20190614,394,820A WESTSIDE HWY,KELSO,0,8,No,F,5.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414280,6034103470010001,FREEDOM MARKET,20190614,394,820A WESTSIDE HWY,KELSO,0,8,No,F,95.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414292,6033556170010001,GOLDEN DISPENSARIES,20191024,394,650 LLAMA LN,GOLDENDALE,2,20,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414295,6033489910010001,GREENSIDE,20191025,394,23407 PACIFIC HWY S,DES MOINES,9,17,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414295,6033489910010001,GREENSIDE,20191025,394,23407 PACIFIC HWY S,DES MOINES,9,17,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414345,6035352180010001,UNCLE ANDO'S WURLD OF WEED,20190829,394,401 SOUTH BOONE,ABERDEEN,1,14,No,M,100.00%,Mixed,Multiracial,Multiracial,100%,Minority Owned,100%,Multiracial
414356,6033513920010001,GREENFIELD COMPANY CANNABIS MERCANTILE,20190928,394,728 6TH ST,CLARKSTON,2,2,Yes,Male,40.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414356,6033513920010001,GREENFIELD COMPANY CANNABIS MERCANTILE,20190928,394,728 6TH ST,CLARKSTON,2,2,Yes,Male,60.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414398,6033537490010003,WHITE RABBIT RETAIL,20191012,394,15928 HWY 99,LYNNWOOD,0,31,No,F,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414425,6031793430010003,THE GREEN DOOR SEATTLE,20190126,394,828 RAINIER AVE S,SEATTLE,26,17,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414430,6033510330010002,HIGH SOCIETY,20191219,394,1824 BROADWAY,EVERETT,5,31,No,M ,50.00%,Asian,Asian,Asian,100%,Minority Owned,100%,Asian
414430,6033510330010002,HIGH SOCIETY,20191219,394,1824 BROADWAY,EVERETT,5,31,No,M ,50.00%,Asian,Asian,Asian,100%,Minority Owned,100%,Asian
414441,6034501390010005,A GREENER TODAY MARIJUANA,20191018,394,5209 MARTIN LUTHER KING JR.,SEATTLE,26,17,No,F,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414449,6034023650010001,WORLD OF WEED,20190426,394,3202 E PORTLAND AVE,TACOMA,17,27,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414450,6042912990010001,ARKY VANDELAY LLC,20190719,394,417 NW 65TH ST,SEATTLE,26,17,No,M,25.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414450,6042912990010001,ARKY VANDELAY LLC,20190719,394,417 NW 65TH ST,SEATTLE,26,17,No,F,25.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414450,6042912990010001,ARKY VANDELAY LLC,20190719,394,417 NW 65TH ST,SEATTLE,26,17,No,M,25.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414450,6042912990010001,ARKY VANDELAY LLC,20190719,394,417 NW 65TH ST,SEATTLE,26,17,No,M,25.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414454,6033394100010007,LIVING WELL ENTERPRISES,20191101,394,19001 VASHON HIGHWAY SOUTHWEST,VASHON ISLAND,0,17,No,M,35.00%,African American,Black or African American,Black or African American,100%,Minority Owned,100%,Black or African American
414454,6033394100010007,LIVING WELL ENTERPRISES,20191101,394,19001 VASHON HIGHWAY SOUTHWEST,VASHON ISLAND,0,17,No,M,65.00%,African American,Black or African American,Black or African American,100%,Minority Owned,100%,Black or African American
414456,6036161120010004,THE BAKEREE,20190521,394,10326 AURORA AVE N,SEATTLE,26,17,Yes,Male,8.97%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414456,6036161120010004,THE BAKEREE,20190521,394,10326 AURORA AVE N,SEATTLE,26,17,Yes,Male,12.04%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414456,6036161120010004,THE BAKEREE,20190521,394,10327 AURORA AVE N,SEATTLE,26,17,Yes,Female,13.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414456,6036161120010004,THE BAKEREE,20190521,394,10326 AURORA AVE N,SEATTLE,26,17,Yes,Male,26.91%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414456,6036161120010004,THE BAKEREE,20190521,394,10326 AURORA AVE N,SEATTLE,26,17,Yes,Male,39.09%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414460,6033548730010002,ROSLYN HERBS,20191227,394,600 S FIRST STREET,ROSLYN,4,19,No,F,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414470,6034102670010002,THE SLOW BURN,20190531,394,1151 MARKET ST,UNION GAP,11,39,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414491,6033549480010002,EUPHORIUM 420,20191008,394,27623 COVINGTON WAY SE UNIT 1,COVINGTON,12,17,No,F,5.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414491,6033549480010002,EUPHORIUM 420,20191008,394,27623 COVINGTON WAY SE UNIT 1,COVINGTON,12,17,No,M,7.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414491,6033549480010002,EUPHORIUM 420,20191008,394,27623 COVINGTON WAY SE UNIT 1,COVINGTON,12,17,No,F,10.78%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414491,6033549480010002,EUPHORIUM 420,20191008,394,27623 COVINGTON WAY SE UNIT 1,COVINGTON,12,17,No,M,10.78%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414491,6033549480010002,EUPHORIUM 420,20191008,394,27623 COVINGTON WAY SE UNIT 1,COVINGTON,12,17,No,M,21.44%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414491,6033549480010002,EUPHORIUM 420,20191008,394,27623 COVINGTON WAY SE UNIT 1,COVINGTON,12,17,No,M,45.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
414495,6033549340010003,EUPHORIUM,20191008,394,21127 STATE ROUTE 9 SE,WOODINVILLE,0,31,No,F,7.00%,Caucasian,White,White,79%,Non-Minority Owned,79%,Non-Minority Owned
414495,6033549340010003,EUPHORIUM,20191008,394,21127 STATE ROUTE 9 SE,WOODINVILLE,0,31,No,F,11.11%,Caucasian,White,White,79%,Non-Minority Owned,79%,Non-Minority Owned
414495,6033549340010003,EUPHORIUM,20191008,394,21127 STATE ROUTE 9 SE,WOODINVILLE,0,31,No,M,11.11%,Caucasian,White,White,79%,Non-Minority Owned,79%,Non-Minority Owned
414495,6033549340010003,EUPHORIUM,20191008,394,21127 STATE ROUTE 9 SE,WOODINVILLE,0,31,No,F,20.78%,Asian,Asian,White,79%,Non-Minority Owned,79%,Non-Minority Owned
